Day,Hour,Number
1,1,59
1,2,69
1,3,26
1,4,50
1,5,17
1,6,17
1,7,14
1,8,10
1,9,14
1,10,19
1,11,27
1,12,26
1,13,20
1,14,24
1,15,23
1,16,25
1,17,25
1,18,31
1,19,36
1,20,29
1,21,46
1,22,55
1,23,51
1,24,57
2,1,46
2,2,33
2,3,35
2,4,22
2,5,18
2,6,8
2,7,12
2,8,17
2,9,24
2,10,19
2,11,13
2,12,26
2,13,21
2,14,24
2,15,37
2,16,19
2,17,35
2,18,38
2,19,31
2,20,39
2,21,55
2,22,47
2,23,33
2,24,65
3,1,38
3,2,45
3,3,26
3,4,26
3,5,24
3,6,3
3,7,9
3,8,16
3,9,11
3,10,19
3,11,8
3,12,16
3,13,31
3,14,29
3,15,25
3,16,32
3,17,30
3,18,37
3,19,35
3,20,42
3,21,52
3,22,63
3,23,65
3,24,63
4,1,71
4,2,28
4,3,40
4,4,41
4,5,15
4,6,12
4,7,9
4,8,21
4,9,22
4,10,27
4,11,38
4,12,26
4,13,23
4,14,38
4,15,33
4,16,42
4,17,42
4,18,41
4,19,47
4,20,47
4,21,64
4,22,59
4,23,66
4,24,85
5,1,87
5,2,55
5,3,36
5,4,27
5,5,39
5,6,18
5,7,26
5,8,30
5,9,8
5,10,28
5,11,17
5,12,27
5,13,33
5,14,54
5,15,27
5,16,46
5,17,43
5,18,45
5,19,78
5,20,70
5,21,51
5,22,59
5,23,57
5,24,73
6,1,43
6,2,60
6,3,28
6,4,18
6,5,21
6,6,15
6,7,11
6,8,21
6,9,24
6,10,28
6,11,24
6,12,29
6,13,35
6,14,22
6,15,38
6,16,19
6,17,19
6,18,31
6,19,32
6,20,39
6,21,52
6,22,66
6,23,75
6,24,64
7,1,56
7,2,53
7,3,49
7,4,28
7,5,30
7,6,18
7,7,15
7,8,9
7,9,8
7,10,14
7,11,19
7,12,31
7,13,19
7,14,19
7,15,27
7,16,33
7,17,26
7,18,43
7,19,34
7,20,52
7,21,53
7,22,41
7,23,70
7,24,100
