date,Points,Ranking,HighestRanking
1/20/2010,1198.400024,5242,75
1/29/2010,579.0999756,9818,2824
2/3/2010,13598.09961,417,85
2/3/2010,1961.599976,3346,9
2/4/2010,302,16085,15934
2/5/2010,505.3999939,10941,1680
2/7/2010,58.09999847,30053,321
2/15/2010,2,32592,1659
2/16/2010,723.4000244,8135,779
2/20/2010,2031.800049,3249,156
2/28/2010,32471.09961,133,98
3/1/2010,106.3000031,27014,8211
3/2/2010,1048.900024,5884,40
3/12/2010,44,31220,399
3/16/2010,282.7999878,16779,429
3/27/2010,1187.099976,5286,185
4/13/2010,12256.90039,488,195
4/14/2010,48.5,30910,233
4/14/2010,141,24649,888
4/14/2010,25.79999924,32299,333
4/14/2010,253.8999939,18050,521
4/15/2010,3019.199951,2228,860
4/15/2010,639,9038,4541
4/15/2010,32.20000076,31932,288
4/15/2010,540.2000122,10360,4630
4/15/2010,3593.5,1872,364
4/19/2010,13435.09961,423,6
4/20/2010,296.7000122,16273,60
4/21/2010,1359.5,4648,146
4/21/2010,40.79999924,31467,734
4/22/2010,108.9000015,26835,158
4/22/2010,371.7999878,13815,6636
4/23/2010,37.5,31634,229
4/25/2010,303.7999878,16018,36
4/26/2010,338.3999939,14856,3056
4/28/2010,398.8999939,13109,114
4/28/2010,0,32616,27059
4/28/2010,2503.800049,2682,357
4/28/2010,173.1999969,22439,152
4/29/2010,1337.199951,4729,1753
4/29/2010,999.0999756,6124,653
4/29/2010,510.5,10857,52
4/29/2010,178.1999969,22089,274
4/29/2010,83.30000305,28337,214
4/29/2010,42.79999924,31295,407
4/29/2010,531.5,10530,355
4/29/2010,42.40000153,31319,3973
4/30/2010,239.8000031,18739,2470
4/30/2010,37.29999924,31646,471
5/1/2010,89.69999695,27962,187
5/1/2010,112.1999969,26659,139
5/1/2010,165.6999969,22988,94
5/4/2010,966.5,6346,126
5/5/2010,5383.200195,1239,124
5/5/2010,365.7000122,13999,11117
5/5/2010,109.9000015,26775,498
5/5/2010,245.8000031,18432,303
5/5/2010,851.7000122,7116,6
5/5/2010,704.2000122,8316,20
5/6/2010,739.2999878,8001,58
5/6/2010,277.1000061,16998,305
5/6/2010,733.5,8061,96
5/6/2010,42.09999847,31333,415
5/6/2010,160.3000031,23362,96
5/6/2010,6535.200195,1005,90
5/6/2010,3583.5,1879,96
5/6/2010,360.8999939,14132,65
5/6/2010,62.29999924,29700,680
5/6/2010,159.8999939,23387,2452
5/7/2010,571.0999756,9929,14
5/7/2010,313.2999878,15664,35
5/7/2010,108.6999969,26845,146
5/7/2010,28.10000038,32153,568
5/7/2010,229.8999939,19142,13111
5/8/2010,0,32617,28942
5/8/2010,2890.100098,2345,368
5/8/2010,195.8000031,20977,445
5/8/2010,76.90000153,28711,2005
5/8/2010,501.8999939,11001,428
5/8/2010,2294.899902,2895,2002
5/8/2010,377.7000122,13646,240
5/8/2010,211.1000061,20083,197
5/9/2010,61.79999924,29734,1423
5/9/2010,1427.199951,4411,45
5/10/2010,451.7000122,11924,37
5/10/2010,1392.400024,4536,191
5/10/2010,83.59999847,28300,210
5/11/2010,96.80000305,27576,169
5/11/2010,476.3999939,11425,2109
5/11/2010,2865.199951,2360,222
5/12/2010,1685.099976,3799,296
5/12/2010,63.59999847,29597,278
5/13/2010,45.20000076,31147,1087
5/14/2010,87690,20,3
5/14/2010,318.7999878,15490,38
5/15/2010,468.7000122,11579,22
5/15/2010,50.40000153,30769,887
5/17/2010,389.7000122,13344,53
5/17/2010,66.59999847,29365,283
5/17/2010,244.5,18500,53
5/18/2010,42.5,31314,412
5/18/2010,5678.600098,1172,70
5/18/2010,169.3999939,22710,713
5/19/2010,33.40000153,31878,521
5/19/2010,14692.40039,369,9
5/19/2010,37,31665,476
5/19/2010,103.4000015,27184,169
5/19/2010,130.5,25361,129
5/20/2010,231.8000031,19063,206
5/21/2010,24.79999924,32355,318
5/21/2010,1071.800049,5777,19
5/22/2010,98.5,27461,177
5/23/2010,341.7999878,14745,1382
5/23/2010,239.1000061,18771,302
5/24/2010,274.3999939,17115,252
5/24/2010,66.59999847,29366,283
5/24/2010,4224.700195,1619,463
5/24/2010,1254.699951,5019,48
5/25/2010,90.19999695,27928,195
5/25/2010,29.39999962,32091,143
5/25/2010,151.6999969,23924,109
5/25/2010,80.30000305,28518,222
5/25/2010,166.6999969,22903,92
5/25/2010,166.6999969,22904,92
5/25/2010,122.3000031,25962,138
5/25/2010,204.1000061,20486,57
5/25/2010,77.59999847,28670,232
5/26/2010,5216,1283,11
5/26/2010,182.6999969,21798,71
5/26/2010,4329.200195,1583,216
5/26/2010,998.7000122,6131,481
5/27/2010,258.2000122,17827,8947
5/27/2010,37.5,31635,468
5/27/2010,44.5,31185,395
5/28/2010,85.59999847,28171,199
5/28/2010,317.3999939,15532,1479
5/28/2010,41.70000076,31370,418
5/28/2010,77,28703,222
5/30/2010,47.40000153,31005,3683
5/30/2010,373.8999939,13747,11584
5/30/2010,87.59999847,28055,193
5/31/2010,14701.7002,368,2
5/31/2010,39,31557,445
5/31/2010,127.8000031,25536,88
5/31/2010,943,6487,1287
6/1/2010,56.09999847,30252,316
6/1/2010,589.0999756,9691,164
6/2/2010,17403.90039,291,5
6/2/2010,310,15772,4414
6/2/2010,182.5,21817,9267
6/3/2010,1643.300049,3874,169
6/4/2010,28.39999962,32141,282
6/4/2010,201.3999939,20633,567
6/4/2010,523.9000244,10629,308
6/5/2010,39.70000076,31514,435
6/6/2010,1075.5,5752,43
6/7/2010,64.69999695,29516,188
6/7/2010,429.6000061,12381,482
6/7/2010,29.89999962,32065,237
6/7/2010,35.79999924,31743,185
6/7/2010,61.59999847,29744,212
6/7/2010,72,29019,168
6/7/2010,23.20000076,32413,329
6/7/2010,81.59999847,28439,80
6/7/2010,32.90000153,31898,308
6/7/2010,1205.300049,5219,261
6/7/2010,27,32218,215
6/7/2010,87.69999695,28047,129
6/7/2010,27.89999962,32166,286
6/7/2010,293.2000122,16404,8
6/7/2010,0,32619,27059
6/8/2010,226.6999969,19304,1659
6/8/2010,174.3000031,22366,59
6/8/2010,24.10000038,32389,2789
6/8/2010,45.5,31120,246
6/8/2010,146.8999939,24237,77
6/8/2010,58.90000153,29973,47
6/8/2010,17.79999924,32473,607
6/8/2010,17.79999924,32474,607
6/8/2010,38.5,31578,262
6/9/2010,67.90000153,29287,5292
6/9/2010,34.29999924,31836,171
6/9/2010,206.8999939,20316,7832
6/9/2010,230.8000031,19105,386
6/9/2010,50.29999924,30778,228
6/9/2010,40.5,31477,117
6/9/2010,147.5,24200,82
6/9/2010,27.5,32191,567
6/9/2010,35,31783,200
6/9/2010,88.69999695,27995,138
6/9/2010,15.80000019,32496,275
6/9/2010,216.3000031,19814,42
6/9/2010,22.10000038,32431,123
6/9/2010,31.60000038,31967,323
6/9/2010,260.6000061,17735,56
6/9/2010,610.2000122,9392,97
6/9/2010,35.40000153,31761,494
6/9/2010,132.5,25224,936
6/9/2010,17.79999924,32475,607
6/9/2010,493.1000061,11158,11
6/9/2010,23.79999924,32403,267
6/10/2010,365.6000061,14004,32
6/10/2010,39.40000153,31532,432
6/10/2010,103.6999969,27155,109
6/10/2010,47,31033,247
6/10/2010,160.3000031,23363,36
6/10/2010,51.09999847,30719,347
6/10/2010,48.09999847,30946,370
6/10/2010,1145,5418,227
6/10/2010,245.3000031,18467,99
6/10/2010,24.10000038,32390,393
6/10/2010,36.59999847,31697,301
6/10/2010,65,29497,379
6/11/2010,39.5,31525,230
6/11/2010,15.80000019,32497,275
6/11/2010,31,31996,343
6/11/2010,41.59999847,31381,224
6/11/2010,54.20000076,30447,231
6/11/2010,27.5,32192,234
6/12/2010,673.7999878,8651,22
6/12/2010,26.5,32256,580
6/15/2010,30.5,32023,925
6/15/2010,96.30000305,27607,23777
6/15/2010,178.6999969,22053,252
6/15/2010,2804.300049,2399,8
6/16/2010,50.29999924,30779,349
6/17/2010,46.70000076,31051,380
6/17/2010,1066.800049,5808,54
6/17/2010,140.6999969,24666,107
6/18/2010,58,30065,3166
6/20/2010,330.5,15130,337
6/22/2010,17.79999924,32476,607
6/22/2010,55.5,30308,337
6/22/2010,20043.5,246,4
6/22/2010,0,32621,27059
6/22/2010,251.8000031,18145,118
