"date","Points","Ranking","HighestRanking"
"1/20/2010",1198.400024,5242,75
"1/29/2010",579.0999756,9818,2824
"2/3/2010",7779.849793,1881.5,47
"2/4/2010",302,16085,15934
"2/5/2010",505.3999939,10941,1680
"2/7/2010",58.09999847,30053,321
"2/15/2010",2,32592,1659
"2/16/2010",723.4000244,8135,779
"2/20/2010",2031.800049,3249,156
"2/28/2010",32471.09961,133,98
"3/1/2010",106.3000031,27014,8211
"3/2/2010",1048.900024,5884,40
"3/12/2010",44,31220,399
"3/16/2010",282.7999878,16779,429
"3/27/2010",1187.099976,5286,185
"4/13/2010",12256.90039,488,195
"4/14/2010",117.299998285,26477,493.75
"4/15/2010",1564.819992792,11086,2136.6
"4/19/2010",13435.09961,423,6
"4/20/2010",296.7000122,16273,60
"4/21/2010",700.14999962,18057.5,440
"4/22/2010",240.34999465,20325,3397
"4/23/2010",37.5,31634,229
"4/25/2010",303.7999878,16018,36
"4/26/2010",338.3999939,14856,3056
"4/28/2010",768.97500995,17711.5,6920.5
"4/29/2010",465.624990915,18160,960.125
"4/30/2010",138.55000117,25192.5,1470.5
"5/1/2010",122.53333025,25869.6666666667,140
"5/4/2010",966.5,6346,126
"5/5/2010",1276.75003936667,12646.1666666667,2011.33333333333
"5/6/2010",1265.410017751,15785.8,435.3
"5/7/2010",250.219990916,20746.6,2774.8
"5/8/2010",818.55000210375,16534.375,4328.375
"5/9/2010",744.49997512,17072.5,734
"5/10/2010",642.566678223333,14920,146
"5/11/2010",1146.13331598333,13787,833.333333333333
"5/12/2010",874.349987235,16698,287
"5/13/2010",45.20000076,31147,1087
"5/14/2010",44004.3999939,7755,20.5
"5/15/2010",259.550006865,21174,454.5
"5/17/2010",233.600003556667,20403,129.666666666667
"5/18/2010",1963.50003063333,18398.6666666667,398.333333333333
"5/19/2010",2999.340078606,23291.4,260.8
"5/20/2010",231.8000031,19063,206
"5/21/2010",548.30002412,19066,168.5
"5/22/2010",98.5,27461,177
"5/23/2010",290.44999695,16758,842
"5/24/2010",1455.1000345925,13279.75,261.5
"5/25/2010",120.999999776667,25931.7777777778,142.222222222222
"5/26/2010",2681.650051025,7698.75,194.75
"5/27/2010",113.400004066667,26882.3333333333,3270
"5/28/2010",130.4249982825,25944,579.5
"5/30/2010",169.6333313,24269,5153.33333333333
"5/31/2010",3952.875050775,15987,455.5
"6/1/2010",322.599987035,19971.5,240
"6/2/2010",5965.46679666667,12626.6666666667,4562
"6/3/2010",1643.300049,3874,169
"6/4/2010",251.233339306667,21134.3333333333,385.666666666667
"6/5/2010",39.70000076,31514,435
"6/6/2010",1075.5,5752,43
"6/7/2010",164.826670594,26926.0666666667,2009.8
"6/8/2010",83.3888882544444,28434.8888888889,705.888888888889
"6/9/2010",132.790477258095,26467.8095238095,868.761904761905
"6/10/2010",194.26666721,25518.4166666667,247.666666666667
"6/11/2010",34.9333332366667,31673,256.166666666667
"6/12/2010",350.1499939,20453.5,301
"6/15/2010",777.4500122375,21020.5,6240.5
"6/16/2010",50.29999924,30779,349
"6/17/2010",418.06668222,20508.3333333333,180.333333333333
"6/18/2010",58,30065,3166
"6/20/2010",330.5,15130,337
"6/22/2010",3474.49999937333,20864.8333333333,4755
"6/23/2010",884.671414491429,15417.1428571429,269
"6/24/2010",525.283327071667,21279.1666666667,1691.33333333333
"6/25/2010",12556.0251952337,20918.875,1655
"6/26/2010",365.516661965,17703,3538.16666666667
"6/27/2010",6374.94573815636,18586.8181818182,2287.36363636364
"6/28/2010",542.000002643333,18601.1666666667,308.833333333333
"6/29/2010",2112.93634093,19039.0909090909,1029.09090909091
"6/30/2010",856.2000122,7079,52
"7/1/2010",2013.25004855375,19795.625,1099.125
"7/2/2010",206.985718588571,23619.7142857143,1570.28571428571
"7/3/2010",677.133349156667,18867.3333333333,573.666666666667
"7/4/2010",119.59999845,26179.5,3330
"7/5/2010",142.866671243333,25158.6666666667,1581.33333333333
"7/6/2010",98.5833326883333,27522.1666666667,1054
"7/7/2010",252.412503235,20602.125,1232.25
"7/8/2010",1821.8374686425,8675.75,681.5
"7/9/2010",1899.76662832,14765.5,1107.66666666667
"7/10/2010",53.59999847,30499,348
"7/11/2010",3343.06659963333,18924.3333333333,3519.33333333333
"7/12/2010",651.9500122,9343.5,4269
"7/13/2010",165,23427.5,397
"7/14/2010",218.639994052,21352,1470.8
"7/15/2010",274.875002687,24422.75,954.5
"7/16/2010",85.6999994933333,28258,2112.33333333333
"7/17/2010",105.974999415,26964.75,2307.25
"7/19/2010",322,15896,127.5
"7/20/2010",6148.22492855,3861,1483.25
"7/21/2010",5626.67988606,11941.8,2651.4
"7/22/2010",348.266670223333,17883.3333333333,1663.33333333333
"7/23/2010",5076.249898475,14671,145
"7/25/2010",115.6999969,26429,723
"7/26/2010",1921.89993296667,15118.3333333333,258.333333333333
"7/27/2010",5979.833496,7813.33333333333,275.666666666667
"7/28/2010",44.40000153,31191,398
"7/30/2010",1643.47996528,12442,3284.4
"7/31/2010",647.80002605,14334.5,73.5
"8/1/2010",4793.31653743,25458.8333333333,337.5
"8/2/2010",73.93999938,29199.2,5053.2
"8/3/2010",5493.10910088818,17828.8181818182,443.363636363636
"8/4/2010",1392.10954942476,17630.3333333333,655.238095238095
"8/5/2010",904.328224590718,24615.4871794872,627.230769230769
"8/6/2010",166.280001073,24056.4,561.9
"8/7/2010",1433.650065485,25587.6666666667,461.833333333333
"8/8/2010",82161.89844,25,25
"8/9/2010",255.17143551,25094.5714285714,370.142857142857
"8/10/2010",40.0499995466667,30912.5,5036.33333333333
"8/11/2010",745.766658586667,14428.3333333333,248
"8/12/2010",111.500000025,26494,198.5
"8/13/2010",63.3333333333333,29752,4646.66666666667
"8/14/2010",73.1000004,28865,6978.5
"8/15/2010",699.5999756,8372,94
"8/16/2010",41.66666667,31348.6666666667,435.333333333333
"8/17/2010",121.699996475,26990.25,463.75
"8/18/2010",522.271436715714,22099.1428571429,852
"8/19/2010",2466.40708881929,21378,3074.92857142857
"8/20/2010",517.426683139333,22476.4,723.266666666667
"8/21/2010",500.95001361125,18789.75,4044.875
"8/22/2010",588.900012765,18411,282.5
"8/23/2010",702.471437748571,20313,861.857142857143
"8/24/2010",47.5428573057143,30681.8571428571,4200.28571428571
"8/25/2010",846.433340665333,21002.1333333333,4491.86666666667
"8/26/2010",870.110011701,20666.6,2303.9
"8/27/2010",6031.76639853333,8100.66666666667,1077
"8/28/2010",49.649999615,30803.5,3217
"8/29/2010",112.9500021925,27531,3695.75
"8/30/2010",1759.36663425333,11813.3333333333,266.333333333333
"8/31/2010",460.60001071,24642.2,2612.6
"9/1/2010",2836.560012088,16204.4,2009
"9/2/2010",423.899994,19718.5,135.25
"9/3/2010",94.4625005775,27582.25,4581.5
"9/4/2010",158.5,23472,95
"9/5/2010",37.20000076,31658,464
"9/6/2010",1341.86669933333,21327,282
"9/7/2010",74.0666681966667,29075,266
"9/8/2010",955.333333333333,18781.3333333333,113.666666666667
"9/9/2010",2139.76669958667,14128.6666666667,721.333333333333
"9/10/2010",156.599996566667,26907,1625.33333333333
"9/11/2010",4108.1499632,4516.5,246
"9/12/2010",5689.7501828,4613.5,123
"9/13/2010",1879.46663365,22898.1666666667,240.5
"9/14/2010",139.33750390875,25919.625,1063
"9/15/2010",119.399998476,26503.2,391.6
"9/16/2010",1351.09996784333,20096.3333333333,205.333333333333
"9/17/2010",103.70000001,27158.2,638.8
"9/18/2010",126.64999962,25694.5,244
"9/19/2010",180.799995423333,22777,581.333333333333
"9/20/2010",95.44999883,27730.5,239.5
"9/21/2010",193.157144818571,24253.2857142857,299.142857142857
"9/22/2010",1527.06248766562,24430.4375,481.1875
"9/23/2010",406.145453042727,18362.2727272727,728.909090909091
"9/24/2010",490.800017413667,22106.3333333333,629.666666666667
"9/25/2010",192.44999981,25159.75,357
"9/26/2010",36.5,31704,475
"9/27/2010",128.749999975,25317.5,238
"9/28/2010",41182.549999235,15451.5,177
"9/29/2010",171.8499985,22644,2240.5
"9/30/2010",57.924999715,30126,361.25
"10/1/2010",296.400004775,25305,2448.2
"10/2/2010",350.399997028,20855.6,993.2
"10/3/2010",406.46666209,17163,281.333333333333
"10/4/2010",619.483319573333,20457.8333333333,403.833333333333
