Day,Hour,Number
3,1,59
3,2,69
3,3,26
3,4,50
3,5,17
3,6,17
3,7,14
3,8,10
3,9,14
3,10,19
3,11,27
3,12,26
3,13,20
3,14,24
3,15,23
3,16,25
3,17,25
3,18,31
3,19,36
3,20,29
3,21,46
3,22,55
3,23,51
3,24,57
4,1,46
4,2,33
4,3,35
4,4,22
4,5,18
4,6,8
4,7,12
4,8,17
4,9,24
4,10,19
4,11,13
4,12,26
4,13,21
4,14,24
4,15,37
4,16,19
4,17,35
4,18,38
4,19,31
4,20,39
4,21,55
4,22,47
4,23,33
4,24,65
5,1,38
5,2,45
5,3,26
5,4,26
5,5,24
5,6,3
5,7,9
5,8,16
5,9,11
5,10,19
5,11,8
5,12,16
5,13,31
5,14,29
5,15,25
5,16,32
5,17,30
5,18,37
5,19,35
5,20,42
5,21,52
5,22,63
5,23,65
5,24,63
6,1,71
6,2,28
6,3,40
6,4,41
6,5,15
6,6,12
6,7,9
6,8,21
6,9,22
6,10,27
6,11,38
6,12,26
6,13,23
6,14,38
6,15,33
6,16,42
6,17,42
6,18,41
6,19,47
6,20,47
6,21,64
6,22,59
6,23,66
6,24,85
7,1,87
7,2,55
7,3,36
7,4,27
7,5,39
7,6,18
7,7,26
7,8,30
7,9,8
7,10,28
7,11,17
7,12,27
7,13,33
7,14,54
7,15,27
7,16,46
7,17,43
7,18,45
7,19,78
7,20,70
7,21,51
7,22,59
7,23,57
7,24,73
1,1,43
1,2,60
1,3,28
1,4,18
1,5,21
1,6,15
1,7,11
1,8,21
1,9,24
1,10,28
1,11,24
1,12,29
1,13,35
1,14,22
1,15,38
1,16,19
1,17,19
1,18,31
1,19,32
1,20,39
1,21,52
1,22,66
1,23,75
1,24,64
2,1,56
2,2,53
2,3,49
2,4,28
2,5,30
2,6,18
2,7,15
2,8,9
2,9,8
2,10,14
2,11,19
2,12,31
2,13,19
2,14,19
2,15,27
2,16,33
2,17,26
2,18,43
2,19,34
2,20,52
2,21,53
2,22,41
2,23,70
2,24,100
